atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_A,scout_DS,scout_FC,scout_FD,scout_FF,scout_FS,scout_FT,scout_SG,scout_V,scout_CA,scout_G,scout_I,scout_DE,scout_GS,scout_PC,scout_PP,scout_CV,scout_GC,scout_PS,scout_DP,mandante,adversario,prob_vitoria,prob_gols,tendencia,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank,status_label
100842,Ruan,282,CAM,3,Zagueiro,7,6.2,1.41,3.1,16,9.5,True,0.0,17.0,15.0,,2.0,14.0,,2.0,,6.0,2.0,1.0,,,,,,,,,False,PAL,0.0,,alta,9.5,1.98,0.639,1.0,3.317,0.437,neutro,0.535,24,Provável
98909,Cuello,282,CAM,5,Atacante,7,9.41,0.53,5.95,18,5.3,True,1.0,29.0,16.0,7.0,18.0,30.0,4.0,0.0,,1.0,2.0,13.0,,,,,,,,,False,PAL,0.0,,alta,5.3,4.78,0.803,1.0,5.651,1.179,valor_bom,0.601,18,Provável
72460,Bernard,282,CAM,4,Meia,7,5.77,0.48,3.1,16,9.7,True,3.0,13.0,10.0,1.0,3.0,14.0,,0.0,,,1.0,3.0,,,,,,,,,False,PAL,0.0,,estavel,9.7,1.85,0.597,1.0,3.402,0.705,valor_bom,0.59,13,Provável
107554,Natanael,282,CAM,2,Lateral,7,8.79,-0.54,5.07,12,4.2,True,2.0,21.0,13.0,2.0,4.0,22.0,,2.0,,,0.0,4.0,,,,,1.0,,,,False,PAL,0.0,,baixa,4.2,3.74,0.738,1.0,5.109,0.407,neutro,0.581,31,Provável
40990,Dorival Júnior,276,SAO,6,Técnico,7,9.6,0.24,4.17,12,4.17,True,0.0,,,,,,,0.0,1.0,,0.0,,,,,,,,,,False,FLA,0.0,,estavel,4.2,4.17,1.0,1.0,4.563,-0.464,neutro,0.475,18,Provável
78248,Gustavo Henrique,264,COR,3,Zagueiro,7,8.81,0.8,3.74,15,6.2,True,0.0,13.0,17.0,4.0,9.0,7.0,,6.0,,3.0,0.0,,,,1.0,,,,,,False,BAH,0.0,,alta,6.2,2.54,0.679,1.0,3.744,0.034,neutro,0.425,52,Provável
95556,Raniele,264,COR,4,Meia,2,7.72,0.0,4.17,15,0.0,False,0.0,30.0,26.0,1.0,8.0,22.0,1.0,0.0,,4.0,1.0,1.0,,,,,,,,,False,BAH,0.0,,estavel,4.2,3.84,0.921,1.0,4.113,0.75,valor_bom,0.533,38,Dúvida
68928,Rafael,276,SAO,1,Goleiro,7,7.3,-0.08,3.39,19,0.6,True,0.0,,,,,2.0,,4.0,,1.0,0.0,,51.0,22.0,,,,,,,False,FLA,0.0,,estavel,0.6,2.34,0.69,1.0,3.541,0.082,neutro,0.485,16,Provável
102340,Cacá,287,VIT,3,Zagueiro,7,6.06,0.0,3.09,12,0.0,False,0.0,4.0,5.0,1.0,1.0,3.0,,5.0,,3.0,1.0,,,,1.0,,,,,,False,REM,0.0,,estavel,3.1,1.34,0.434,1.0,3.354,0.532,valor_bom,0.553,16,Provável
101574,Hugo Souza,264,COR,1,Goleiro,7,9.37,0.58,4.07,16,5.0,True,0.0,,,,,1.0,,6.0,,1.0,0.0,,35.0,16.0,1.0,,,,,1.0,False,BAH,0.0,,alta,5.0,2.2,0.541,1.0,4.013,-0.057,neutro,0.428,24,Provável
105531,Matheus Bidu,264,COR,2,Lateral,7,13.3,0.47,7.86,15,9.7,True,1.0,34.0,18.0,1.0,5.0,43.0,,6.0,,4.0,2.0,4.0,,,1.0,,,,,,False,BAH,0.0,,estavel,9.7,5.53,0.704,1.0,6.923,0.986,valor_bom,0.521,46,Provável
117632,Garro,264,COR,4,Meia,7,10.78,0.0,5.27,17,0.0,False,6.0,7.0,14.0,11.0,11.0,47.0,1.0,0.0,,3.0,1.0,1.0,,,,,,,,,False,BAH,0.0,,estavel,5.3,3.21,0.609,1.0,4.865,0.699,valor_bom,0.451,84,Provável
117910,Breno Bidon,264,COR,4,Meia,7,9.54,0.36,4.17,17,7.0,True,1.0,16.0,22.0,1.0,6.0,49.0,1.0,0.0,,1.0,2.0,2.0,,,,,,,,,False,BAH,0.0,,estavel,7.0,3.29,0.789,1.0,4.117,0.193,neutro,0.432,96,Provável
145744,André,264,COR,4,Meia,7,6.86,-1.59,4.31,14,5.0,True,1.0,20.0,15.0,1.0,5.0,15.0,,0.0,,1.0,3.0,,,,,,2.0,,,,False,BAH,0.0,,baixa,5.0,2.88,0.668,1.0,4.199,1.153,valor_bom,0.612,9,Provável
142877,Villalba,263,BOT,5,Atacante,7,4.27,0.0,1.78,8,0.0,False,0.0,6.0,4.0,,,1.0,,0.0,,2.0,1.0,,,,,,,,,,False,CRU,0.0,,estavel,1.8,0.78,0.438,1.0,1.899,-0.478,neutro,0.445,70,Provável
79701,Lucas Silva,283,CRU,4,Meia,7,3.22,-0.4,0.19,14,-1.3,True,0.0,5.0,8.0,,2.0,2.0,,0.0,,5.0,0.0,,,,,,,,,,True,BOT,0.0,,estavel,0.2,0.19,1.0,1.0,0.464,-1.178,armadilha_leve,0.144,161,Provável
