atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,scout_DE,scout_FS,scout_GS,scout_SG,scout_CA,scout_DS,scout_FC,scout_I,scout_FD,scout_FF,scout_FT,scout_PC,scout_A,scout_G,scout_PP,scout_PS,scout_CV,scout_V,scout_DP,scout_GC
111951,Renzo López,287,VIT,5,Atacante,6,2.63,-0.37,-0.2,1,-0.2,,2.0,,,,,4.0,,,,,,,,,,,,,
145387,Rúben Ismael,287,VIT,4,Meia,5,4.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
90031,Mendoza,293,CAP,5,Atacante,7,8.91,1.49,5.73,4,9.5,,1.0,,,,3.0,3.0,,1.0,2.0,,,,2.0,,,,,,
92273,Odair Hellmann,293,CAP,6,Técnico,7,7.89,0.3,5.48,4,4.5,,,,,,,,,,,,,,,,,,2.0,,
130620,Edenílson,287,VIT,4,Meia,2,3.83,0.83,2.9,1,2.9,,1.0,,,,2.0,2.0,,,,,,,,,,,,,
145510,Paulo Roberto,287,VIT,2,Lateral,6,3.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
85626,Léo,293,CAP,3,Zagueiro,6,5.74,0.0,4.7,1,0.0,,,,1.0,,,1.0,,,,,,,,,,,,,
80129,Jadson,293,CAP,4,Meia,6,4.79,-0.24,1.23,3,1.2,,4.0,,,1.0,2.0,1.0,,,,,,,,,,,,,
110668,Esquivel,293,CAP,2,Lateral,7,7.13,1.6,5.53,3,8.5,,5.0,,,,3.0,4.0,,,1.0,,,2.0,,,,,,,
120433,Léo Derik,293,CAP,2,Lateral,6,4.26,-0.11,3.33,3,0.0,,1.0,,1.0,,3.0,,,,,,,,,,,,,,
105518,Renan Peixoto,293,CAP,5,Atacante,5,3.61,-0.39,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,
115270,Habraão,293,CAP,3,Zagueiro,6,3.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
123869,Aguirre,293,CAP,3,Zagueiro,7,5.02,-0.37,2.8,3,0.5,,2.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,
110698,Mycael,293,CAP,1,Goleiro,6,5.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
112017,Felipinho,293,CAP,4,Meia,6,4.2,0.2,1.5,1,1.5,,,,,,1.0,,,,,,,,,,,,,,
107985,Terán,293,CAP,3,Zagueiro,6,5.37,0.0,3.1,4,2.5,,3.0,,1.0,,4.0,3.0,,,1.0,,,,,,,,,,
113113,Benavídez,293,CAP,2,Lateral,7,6.25,-0.6,4.32,4,2.0,,3.0,,1.0,,4.0,3.0,1.0,,1.0,,,1.0,,,,,,,
115266,Renan Viana,293,CAP,5,Atacante,6,2.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
122316,Batata,293,CAP,2,Lateral,6,1.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
128431,João Cruz,293,CAP,4,Meia,6,5.06,0.0,1.6,1,0.0,,,,,,,,,,2.0,,,,,,,,,,
131832,Portilla,293,CAP,4,Meia,7,2.52,-0.33,-0.28,4,0.0,,1.0,,,1.0,1.0,7.0,,,,,,,,,,,,,
122439,Isaac,293,CAP,5,Atacante,6,2.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
143532,Carlos Eduardo,293,CAP,1,Goleiro,6,1.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
130842,Matheus Soares,293,CAP,1,Goleiro,6,1.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
123101,Leozinho,293,CAP,5,Atacante,6,2.56,0.0,-0.3,1,0.0,,,,,,,1.0,,,,,,,,,,,,,
63354,Rodrigo Moledo,294,CFC,3,Zagueiro,6,3.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
125746,Dudu,293,CAP,4,Meia,6,0.75,0.0,0.17,3,0.0,,1.0,,,,,,,,,,,,,,,,,,
125926,Zapelli,293,CAP,4,Meia,3,6.33,0.48,3.23,4,4.0,,4.0,,,1.0,6.0,5.0,,,3.0,,,1.0,,,,1.0,,,
143193,Viveros,293,CAP,5,Atacante,7,10.03,-1.2,6.9,4,-0.2,,17.0,,,1.0,1.0,12.0,2.0,3.0,6.0,,,1.0,1.0,,1.0,,,,
128429,Marcão,293,CAP,3,Zagueiro,6,3.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
127970,Felipe Chiqueti,293,CAP,4,Meia,7,1.94,0.0,1.95,2,0.0,,4.0,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,
